AIRPORT,DATE,FLTS,TOT_A100,TOT_REF,TOT_ADD,AVG_ADD,REF_YEAR
SBPA,2024-04,117,2872.6,2553.846666666667,318.7533333333331,2.7243874643874624,2023
SBPA,2024-05,13,328.0833333333333,280.88000000000005,47.20333333333326,3.6310256410256354,2023
SBPA,2024-10,15,353.65,321.57500000000005,32.07499999999993,2.1383333333333288,2023
SBPA,2024-11,49,1279.5833333333333,1047.4333333333334,232.14999999999986,4.737755102040814,2023
SBPA,2024-12,41,955.6,886.3600000000001,69.2399999999999,1.6887804878048756,2023
SBCF,2021-02,7,169.15,149.06041666666667,20.089583333333337,2.8699404761904765,2023
SBCF,2021-03,1559,36657.98333333333,32003.035833333335,4654.947499999995,2.9858547145606122,2023
SBCF,2021-04,1484,34355.23333333333,30348.960833333334,4006.2724999999955,2.6996445417789725,2023
SBCF,2021-05,1962,45613.916666666664,40252.0325,5361.884166666663,2.7328665477403993,2023
SBCF,2021-06,2093,48835.46666666667,42592.70375,6242.762916666667,2.982686534480013,2023
SBCF,2021-07,2539,58739.083333333336,52030.18833333334,6708.894999999997,2.6423375344623854,2023
SBCF,2021-08,2733,63987.23333333333,55758.232500000006,8229.000833333324,3.010977253323573,2023
SBCF,2021-09,3025,71681.78333333334,61958.29416666667,9723.489166666674,3.2143765840220406,2023
SBCF,2021-10,2956,70893.98333333334,60579.30666666667,10314.676666666666,3.4894034731619303,2023
SBCF,2021-11,3250,79190.55,67057.63875,12132.911250000005,3.733203461538463,2023
SBCF,2021-12,3372,80571.16666666667,69412.18041666667,11158.986250000002,3.3093079033214714,2023
SBCF,2022-01,2855,71750.51666666666,59141.89,12608.626666666663,4.416331582019847,2023
SBCF,2022-02,2446,58364.2,50345.16791666667,8019.032083333324,3.278426853366036,2023
SBCF,2022-03,3082,72198.66666666667,62870.03416666667,9328.6325,3.026811323815704,2023
SBCF,2022-04,2789,66559.21666666666,57139.36583333334,9419.850833333323,3.3775011951715035,2023
SBCF,2022-05,3549,86029.15,72994.85416666667,13034.295833333323,3.672667183244103,2023
SBCF,2022-06,3185,75878.1,65279.52541666667,10598.574583333335,3.3276529304029308,2023
SBCF,2022-07,3931,95291.05,80766.11583333334,14524.934166666659,3.694971805308232,2023
SBCF,2022-08,3669,87717.03333333334,75324.29916666666,12392.734166666676,3.377687153629511,2023
SBCF,2022-09,3686,88522.68333333333,75848.66750000001,12674.015833333324,3.4384199222282485,2023
SBCF,2022-10,3912,94037.38333333333,80576.90208333333,13460.481249999997,3.440818315439672,2023
SBCF,2022-11,3205,79215,66119.81166666668,13095.188333333324,4.085862194487777,2023
SBCF,2022-12,3816,95489.05,79172.64791666667,16316.402083333334,4.275786709468903,2023
SBCF,2023-01,3884,97627.5,80718.94333333334,16908.556666666656,4.353387401304494,2023
SBCF,2023-02,3308,80138.36666666667,68446.32541666667,11692.041249999995,3.534474380290204,2023
