ICAO,DATE,PHASE,N_VALID,"(-INF,-60]","(-60,-55]","(-55,-50]","(-50,-45]","(-45,-40]","(-40,-35]","(-35,-30]","(-30,-25]","(-25,-20]","(-20,-15]","(-15,-10]","(-10,-5]","(-5,0]","(0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,INF)"
EDDF,2023-03-24,DEP,544,0,0,0,0,0,0,0,0,1,0,5,5,24,59,54,42,31,26,34,41,20,26,20,17,22,117
EDDF,2023-03-25,ARR,516,0,1,0,1,2,3,4,10,14,16,28,45,50,40,31,36,24,27,21,24,21,10,15,13,13,67
EDDF,2023-03-25,DEP,521,0,0,0,0,0,0,0,1,0,1,2,8,20,49,56,40,39,42,24,31,21,30,22,20,20,95
EDDF,2023-03-26,ARR,566,1,0,2,0,0,0,1,4,6,15,18,36,31,43,38,39,37,21,28,20,26,18,12,7,15,148
EDDF,2023-03-26,DEP,573,1,0,0,1,0,0,0,0,0,0,2,3,4,10,19,27,27,30,27,30,32,32,30,25,24,249
EDDF,2023-03-27,ARR,10,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,3,0,0,0,0,0,1,1,1
EDDF,2023-03-27,DEP,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,1
EDDF,2023-03-28,ARR,564,3,1,1,1,0,0,1,1,5,9,18,32,44,60,43,52,27,42,26,35,18,20,18,11,15,81
EDDF,2023-03-28,DEP,558,1,0,0,0,0,0,1,0,0,0,3,2,11,39,57,49,47,47,44,43,42,36,16,13,14,93
EDDF,2023-03-29,ARR,576,2,1,0,0,1,1,2,3,3,9,23,47,73,74,50,63,47,36,28,22,14,9,9,4,13,42
EDDF,2023-03-29,DEP,581,0,0,0,0,0,0,0,0,0,1,5,7,30,74,75,66,68,52,49,27,32,15,12,12,7,49
EDDF,2023-03-30,ARR,582,1,0,0,0,1,1,0,1,4,6,16,31,45,60,69,51,40,46,27,33,24,17,19,14,11,65
EDDF,2023-03-30,DEP,568,0,0,0,0,0,0,0,0,0,0,3,5,17,43,59,81,53,49,45,40,33,21,19,12,16,72
EDDF,2023-03-31,ARR,574,0,2,2,4,0,0,2,4,5,7,14,29,35,40,43,44,31,29,35,29,31,25,16,16,10,121
EDDF,2023-03-31,DEP,588,0,1,0,0,0,0,0,0,1,0,3,1,12,37,34,32,41,41,38,42,35,28,26,37,25,154
EDDF,2023-04-01,ARR,602,0,0,0,2,2,0,1,8,14,14,31,38,68,66,46,38,35,40,26,25,18,16,13,16,12,73
EDDF,2023-04-01,DEP,594,0,0,0,1,1,0,0,0,0,1,6,3,18,45,60,61,45,49,45,51,35,27,12,23,17,94
