ICAO,DATE,PHASE,ARRS100,ADD100,TOT_A100,AVG_ADD_TIME
LPPT,2019-07-12,ARR,332,1136.1999999999994,8704.1,3.422289156626504
LPPT,2019-07-13,ARR,327,1046.683333333333,8529.666666666666,3.200866462793067
LPPT,2019-07-14,ARR,335,867.5633333333332,8810.033333333333,2.5897412935323376
LPPT,2019-07-15,ARR,343,1148.1799999999998,9458.883333333335,3.3474635568513116
LPPT,2019-07-16,ARR,325,1090.183333333333,8981.349999999999,3.3544102564102554
LPPT,2019-07-17,ARR,321,775.0166666666665,8565.466666666665,2.414382139148494
LPPT,2019-07-18,ARR,331,1061.2133333333334,9125.93333333333,3.2060825780463245
LPPT,2019-07-19,ARR,329,984.5200000000002,8957.233333333332,2.992462006079028
LPPT,2019-07-20,ARR,325,1145.86,9016.133333333335,3.5257230769230765
LPPT,2019-07-21,ARR,332,844.9733333333331,8836.700000000003,2.545100401606425
LPPT,2019-07-22,ARR,341,823.3266666666666,9077.433333333334,2.4144477028347993
LPPT,2019-07-23,ARR,327,835.7399999999999,8772.2,2.5557798165137613
LPPT,2019-07-24,ARR,320,1154.8833333333332,8850.95,3.609010416666666
LPPT,2019-07-25,ARR,333,1814.4733333333336,9708.216666666664,5.448868868868869
LPPT,2019-07-26,ARR,328,1650.4333333333334,9591.56666666667,5.031808943089431
LPPT,2019-07-27,ARR,327,797.8799999999999,8701.533333333335,2.4399999999999995
LPPT,2019-07-28,ARR,331,806.0199999999995,8785.750000000002,2.4351057401812675
LPPT,2019-07-29,ARR,341,1622.7799999999997,9865.016666666666,4.758885630498533
LPPT,2019-07-30,ARR,327,1419.3799999999999,9366.3,4.340611620795107
LPPT,2019-07-31,ARR,328,1183.6899999999998,9132.550000000001,3.6088109756097557
LPPT,2019-08-01,ARR,334,1113.6966666666667,9242.516666666668,3.334421157684631
LPPT,2019-08-02,ARR,331,1657.2666666666664,9673.566666666668,5.0068479355488416
LPPT,2019-08-03,ARR,322,1200.4799999999998,8981.866666666667,3.7281987577639746
LPPT,2019-08-04,ARR,331,935.0133333333331,8900.916666666666,2.824813695871097
LPPT,2019-08-05,ARR,336,1300.3633333333332,9424.350000000004,3.870128968253968
LPPT,2019-08-06,ARR,322,767.0133333333333,8574.58333333333,2.3820289855072465
LPPT,2019-08-07,ARR,330,1493.6966666666667,8998.400000000003,4.526353535353535
LPPT,2019-08-08,ARR,302,2189.536666666666,9088.7,7.25012141280353
LPPT,2019-08-09,ARR,343,1543.1066666666666,9674.216666666669,4.4988532555879495
LPPT,2019-08-10,ARR,328,1357.2899999999997,9280.366666666667,4.138079268292682
LPPT,2019-08-11,ARR,329,1305.3133333333333,9215.166666666668,3.9675177304964535
LPPT,2019-08-12,ARR,336,1780.9799999999996,9903.18333333333,5.300535714285713
LPPT,2019-08-13,ARR,323,1026.8933333333332,8879.06666666667,3.1792363261093906
LPPT,2019-08-14,ARR,322,934.6566666666664,8768.850000000006,2.902660455486542
LPPT,2019-08-15,ARR,322,1396.5199999999998,9216.866666666672,4.337018633540372
LPPT,2019-08-16,ARR,329,999.2199999999998,8965.300000000001,3.0371428571428565
LPPT,2019-08-17,ARR,323,989.2166666666667,8792.35,3.062590299277606
LPPT,2019-08-18,ARR,332,1383.1233333333332,9369.350000000002,4.166034136546185
LPPT,2019-08-19,ARR,339,1271.8366666666661,9477.316666666666,3.751730580137658
LPPT,2019-08-20,ARR,326,1479.7566666666664,9393.7,4.539130879345603
LPPT,2019-08-21,ARR,325,781.07,8681.466666666664,2.403292307692308
